,ADTN
Price/Earnings (TTM),
Price/Sales (TTM),2.5463
Price/Book (MRQ),2.85986
Price/Cash Flow (TTM),976.8376
5yr Low,4.8
5yr High,25.47
5yr Avg Return,0.04626666666666666
EPS Growth 5yr,
Revenue Growth 5yr,-0.024327
Dividend Growth 5yr,0.0
Short Int Current Month,2122971.0
Short Int Prev Month,2396875.0
Short Int Pct of Float,0.028343600000000004
Days to Cover,2.71198
Float,75.93841
Shares Outstanding,77.65594
Institutions Holding Shares,275.0
% Held by Institutions,0.887395
FCF Growth 5yr,-2.3620770896456715
