,PPG
Price/Earnings (TTM),29.98694
Price/Sales (TTM),1.77512
Price/Book (MRQ),5.19444
Price/Cash Flow (TTM),18.90425
5yr Low,69.77
5yr High,182.97
5yr Avg Return,0.03735000000000001
EPS Growth 5yr,0.235927
Revenue Growth 5yr,0.0332071
Dividend Growth 5yr,0.076953
Short Int Current Month,1928599.0
Short Int Prev Month,2260607.0
Short Int Pct of Float,0.0082296
Days to Cover,1.37969
Float,234.4023
Shares Outstanding,235.0274
Institutions Holding Shares,1228.0
% Held by Institutions,0.790186
FCF Growth 5yr,-0.8783077229151703
