,PPG
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,-0.12024353120243536
Growth 1yr High Est,-0.15825375170532063
Growth 1yr Consensus Est,-0.139248641453878
Growth 2yr Low Est,-0.05839166179498939
Growth 2yr High Est,0.06106761361249369
Growth 2yr Consensus Est,0.0013379759087521481
Growth 5yr Low Est,-0.007287228746957086
Growth 5yr High Est,0.07371670185481352
Growth 5yr Consensus Est,0.03321473655392822
Growth 5yr Actual/Est,0.039916882416581256
Growth 3yr Historic,0.026029503017995143
