,PPG
% Above Low,0.22710000000000002
% Held by Institutions,0.7902
52-Wk Range,['107.06 - 177.32']
Annual Dividend $,2.48
Annual Dividend %,0.018600000000000002
Ask,131.43
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.2
Bid,131.37
Bid Size,200.0
Day Change $,-1.99
Day Change %,-0.0149
Day High,133.19
Day Low,131.29
Dividend Pay Date,2022-12-12 00:00:00
"EPS (TTM, GAAP)",4.45
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.35200000000000004
Last (size),100.0
Last (time),11:23a ET 11/28/22
Market Cap,30.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",29.99
Prev Close,133.36
Price,131.37
Shares Outstanding,235.0M
Short Interest,0.008199999999999999
Today's Open,132.3
Volume Past Day,(Light)
