,DRVN
Price/Earnings (TTM),
Price/Sales (TTM),2.73468
Price/Book (MRQ),3.30776
Price/Cash Flow (TTM),43.4475
5yr Low,22.26
5yr High,35.56
5yr Avg Return,0.05825
Short Int Current Month,3679330.0
Short Int Prev Month,3880340.0
Short Int Pct of Float,0.0669078
Days to Cover,5.97313
Float,162.8894
Shares Outstanding,167.4041
Institutions Holding Shares,212.0
% Held by Institutions,1.033052
FCF Growth 5yr,-0.26500402841866255
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
