,DRVN
% Below High,0.13119999999999998
% Held by Institutions,1.0331000000000001
52-Wk Range,['24.62 - 35.45']
Annual Dividend $,
Annual Dividend %,
Ask,32.5
Ask Size,100.0
B/A Ratio,34.0
B/A Size,3400x100
Beta,
Bid,28.0
Bid Size,3400.0
Closing Price,30.8
Day Change $,0.03
Day Change %,0.001
Day High,31.03
Day Low,30.59
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.15
Ex-dividend Date,No dividend
Historical Volatility,0.41100000000000003
Last (size),28.0
Last (time),12:59p ET 11/25/22
Market Cap,5.2B
"P/E Ratio (TTM, GAAP)",
Prev Close,30.77
Shares Outstanding,167.4M
Short Interest,0.0669
Today's Open,30.89
Volume,373727.0
Volume 10-day Avg,445527.0
Volume Past Day,(Below Average)
