,THG
% Below High,0.0676
% Held by Institutions,0.8805
52-Wk Range,['121.69 - 155.55']
Annual Dividend $,3.0
Annual Dividend %,0.0203
Ask,232.73
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.7
Bid,58.19
Bid Size,200.0
Change Since Close,0.00| |(0.00%)
Closing Price,145.03
Day Change $,-2.44
Day Change %,-0.0165
Day High,147.7
Day Low,145.03
Dividend Pay Date,2022-09-30 00:00:00
"EPS (TTM, GAAP)",8.11
Ex-dividend,2022-09-15 00:00:00
Ex-dividend Date,09/15/22
Historical Volatility,0.264
Last (size),116.0
Last (time),4:10p ET 11/28/22
Last Trade,145.03
Market Cap,5.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.18
Prev Close,147.47
Shares Outstanding,35.6M
Short Interest,0.0149
Today's Open,146.8
Volume,84087.0
Volume 10-day Avg,143666.0
Volume Past Day,(Light)
