,THG
Price/Earnings (TTM),18.17792
Price/Sales (TTM),0.96503
Price/Book (MRQ),2.28666
Price/Cash Flow (TTM),17.14408
5yr Low,75.11
5yr High,155.55
5yr Avg Return,0.056749999999999995
EPS Growth 5yr,0.49386420000000003
Revenue Growth 5yr,0.0459581
Dividend Growth 5yr,0.0867694
Short Int Current Month,524575.0
Short Int Prev Month,601836.0
Short Int Pct of Float,0.0148977
Days to Cover,3.12669
Float,35.26521
Shares Outstanding,35.56231
Institutions Holding Shares,446.0
% Held by Institutions,0.8805320000000001
FCF Growth 5yr,0.27409915969995785
