,THG
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.02750000000000008
Growth 1yr High Est,0.10365853658536595
Growth 1yr Consensus Est,0.06557926829268301
Growth 2yr Low Est,0.00036800486618004946
Growth 2yr High Est,0.2286248484031802
Growth 2yr Consensus Est,0.11449642663468013
Growth 5yr Low Est,0.00018400243309002473
Growth 5yr High Est,0.1143124242015901
Growth 5yr Consensus Est,0.05724821331734006
Growth 5yr Actual/Est,0.07062869488968257
Growth 3yr Historic,0.019713035428763764
