,CCB
% Below High,0.09939999999999999
% Held by Institutions,0.5747
52-Wk Range,['35.61 - 54.41']
Annual Dividend $,
Annual Dividend %,
Ask,55.0
Ask Size,800.0
B/A Ratio,0.25
B/A Size,200x800
Beta,1.1
Bid,49.0
Bid Size,200.0
Closing Price,49.0
Day Change $,0.07
Day Change %,0.0014000000000000002
Day High,49.12
Day Low,48.66
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.61
Ex-dividend Date,No dividend
Historical Volatility,0.354
Last (size),5.0
Last (time),12:59p ET 11/25/22
Market Cap,636.7M
"P/E Ratio (TTM, GAAP)",18.75
Prev Close,48.93
Shares Outstanding,13.0M
Short Interest,0.0294
Today's Open,48.66
Volume,8553.0
Volume 10-day Avg,49334.0
Volume Past Day,(Light)
