,CCB
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.3970588235294117
Growth 1yr High Est,0.4036697247706422
Growth 1yr Consensus Est,0.40036427415002696
Growth 2yr Low Est,0.41782765737874084
Growth 2yr High Est,0.4142531630389159
Growth 2yr Consensus Est,0.41604041020882837
Growth 5yr Low Est,0.4146824646312201
Growth 5yr High Est,0.4310463802764867
Growth 5yr Consensus Est,0.4228644224538534
Growth 5yr Actual/Est,0.4174433261567193
Growth 3yr Historic,0.22252090800477903
