,CCB
Price/Earnings (TTM),18.74594
Price/Sales (TTM),2.65599
Price/Book (MRQ),2.77517
Price/Cash Flow (TTM),17.37632
5yr Low,8.41
5yr High,54.41
5yr Avg Return,0.3297
EPS Growth 5yr,0.37505000000000005
Revenue Growth 5yr,0.2389548
Dividend Growth 5yr,
Short Int Current Month,303777.0
Short Int Prev Month,251750.0
Short Int Pct of Float,0.0294335
Days to Cover,5.67839
Float,10.50068
Shares Outstanding,12.96203
Institutions Holding Shares,149.0
% Held by Institutions,0.57467
FCF Growth 5yr,0.6753921841641141
