,FSLR
% Below High,0.0103
% Held by Institutions,0.7957
52-Wk Range,['59.60 - 173.21']
Annual Dividend $,
Annual Dividend %,
Ask,172.36
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,171.25
Bid Size,100.0
Closing Price,171.43
Day Change $,1.96
Day Change %,0.0116
Day High,173.21
Day Low,167.31
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.88
Ex-dividend Date,No dividend
Historical Volatility,0.511
Last (size),19.0
Last (time),1:00p ET 11/25/22
Market Cap,18.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",194.67
Prev Close,169.47
Shares Outstanding,106.6M
Short Interest,0.0393
Today's Open,169.02
Volume,1116948.0
Volume 10-day Avg,2056587.0
Volume Past Day,(Light)
