,CSII
Price/Earnings (TTM),
Price/Sales (TTM),2.50385
Price/Book (MRQ),2.45661
Price/Cash Flow (TTM),
5yr Low,12.26
5yr High,55.22
5yr Avg Return,-0.01048333333333335
EPS Growth 5yr,
Revenue Growth 5yr,0.0288525
Dividend Growth 5yr,
Short Int Current Month,1268502.0
Short Int Prev Month,1557876.0
Short Int Pct of Float,0.0314861
Days to Cover,4.37009
Float,40.34915
Shares Outstanding,41.88225
Institutions Holding Shares,229.0
% Held by Institutions,0.861014
FCF Growth 5yr,0.10487044172202557
