,CSII
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.18947368421052624
Growth 1yr High Est,-0.2906976744186046
Growth 1yr Consensus Est,-0.24008567931456543
Growth 2yr Low Est,-0.1336978810663021
Growth 2yr High Est,-0.3010865421273351
Growth 2yr Consensus Est,-0.2173922115968186
Growth 5yr Low Est,-0.07694995063416116
Growth 5yr High Est,-0.04220993773033421
Growth 5yr Consensus Est,-0.059579944182247685
Growth 5yr Actual/Est,0.1505391289292448
Growth 3yr Historic,0.28218806509945754
