,CSII
% Above Low,0.1587
% Held by Institutions,0.861
52-Wk Range,['12.26 - 23.76']
Annual Dividend $,
Annual Dividend %,
Ask,16.23
Ask Size,500.0
B/A Ratio,0.4
B/A Size,200x500
Beta,0.9
Bid,5.65
Bid Size,200.0
Closing Price,14.2
Day Change $,0.12
Day Change %,0.0085
Day High,14.22
Day Low,13.79
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.99
Ex-dividend Date,No dividend
Historical Volatility,0.534
Last (size),19.0
Last (time),12:59p ET 11/25/22
Market Cap,595.1M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,14.08
Shares Outstanding,41.9M
Short Interest,0.0315
Today's Open,14.11
Volume,60598.0
Volume 10-day Avg,238838.0
Volume Past Day,(Light)
