,FFIV
% Above Low,0.16149999999999998
% Held by Institutions,0.9833
52-Wk Range,['133.68 - 249.00']
Annual Dividend $,
Annual Dividend %,
Ask,155.9
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,154.64
Bid Size,100.0
Closing Price,155.27
Day Change $,-0.46
Day Change %,-0.003
Day High,156.44
Day Low,154.83
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.28
Ex-dividend Date,No dividend
Historical Volatility,0.374
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,9.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",29.4
Prev Close,155.73
Shares Outstanding,60.4M
Short Interest,0.0352
Today's Open,155.74
Volume,224386.0
Volume 10-day Avg,494848.0
Volume Past Day,(Light)
