,FFIV
Price/Earnings (TTM),29.4004
Price/Sales (TTM),3.47699
Price/Book (MRQ),3.7645
Price/Cash Flow (TTM),21.41183
5yr Low,79.78
5yr High,249.0
5yr Avg Return,0.07473333333333333
EPS Growth 5yr,-0.040853799999999996
Revenue Growth 5yr,0.0522236
Dividend Growth 5yr,
Short Int Current Month,2110192.0
Short Int Prev Month,2251642.0
Short Int Pct of Float,0.0351905
Days to Cover,3.75333
Float,60.05924
Shares Outstanding,60.36861
Institutions Holding Shares,754.0
% Held by Institutions,0.983286
FCF Growth 5yr,0.7942341190313241
