,SSP
Price/Earnings (TTM),11.46805
Price/Sales (TTM),0.50522
Price/Book (MRQ),0.7343
Price/Cash Flow (TTM),4.43517
5yr Low,5.36
5yr High,24.78
5yr Avg Return,0.0015333333333333301
EPS Growth 5yr,0.0136326
Revenue Growth 5yr,0.211642
Dividend Growth 5yr,
Short Int Current Month,2180609.0
Short Int Prev Month,1849627.0
Short Int Pct of Float,0.0369114
Days to Cover,5.63197
Float,58.45248
Shares Outstanding,83.49144
Institutions Holding Shares,227.0
% Held by Institutions,0.770522
FCF Growth 5yr,0.8232323232323232
