,SSP
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,1.0
Growth 1yr Low Est,0.0
Growth 1yr High Est,-0.050761421319796884
Growth 1yr Consensus Est,-0.025380710659898442
Growth 2yr Low Est,-0.4224137931034483
Growth 2yr High Est,-0.22591547001818718
Growth 2yr Consensus Est,-0.32416463156081776
Growth 5yr Low Est,-0.28160919540229884
Growth 5yr High Est,-0.15061031334545813
Growth 5yr Consensus Est,-0.2161097543738785
Growth 5yr Actual/Est,-2.405834412352774
Growth 3yr Historic,-2.27191732002851
