,SSP
% Above Low,0.454
% Held by Institutions,0.7705
52-Wk Range,['9.90 - 23.61']
Annual Dividend $,
Annual Dividend %,
Ask,14.42
Ask Size,600.0
B/A Ratio,0.16666666666666666
B/A Size,100x600
Beta,1.9
Bid,14.39
Bid Size,100.0
Day Change $,-0.095
Day Change %,-0.0066
Day High,14.52
Day Low,14.21
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.26
Ex-dividend Date,No dividend
Historical Volatility,0.521
Last (size),100.0
Last (time),3:19p ET 11/28/22
Market Cap,1.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.47
Prev Close,14.49
Price,14.4
Shares Outstanding,83.5M
Short Interest,0.0369
Today's Open,14.27
Volume Past Day,(Light)
