,ALG
% Below High,0.0696
% Held by Institutions,0.9225
52-Wk Range,['108.35 - 160.71']
Annual Dividend $,0.72
Annual Dividend %,0.0048
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.0
Bid,60.29
Bid Size,
Closing Price,149.53
Day Change $,-0.25
Day Change %,-0.0017000000000000001
Day High,152.2
Day Low,149.24
Dividend Pay Date,2022-11-01 00:00:00
"EPS (TTM, GAAP)",7.71
Ex-dividend,2022-10-17 00:00:00
Ex-dividend Date,10/17/22
Historical Volatility,0.28500000000000003
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,1.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.39
Prev Close,149.78
Shares Outstanding,12.0M
Short Interest,0.0087
Today's Open,150.99
Volume,20978.0
Volume 10-day Avg,43954.0
Volume Past Day,(Light)
