,ALG
Price/Earnings (TTM),19.38615
Price/Sales (TTM),1.22205
Price/Book (MRQ),2.41631
Price/Cash Flow (TTM),13.10139
5yr Low,70.99
5yr High,165.98
5yr Avg Return,0.07753333333333334
EPS Growth 5yr,0.1426754
Revenue Growth 5yr,0.09572169999999999
Dividend Growth 5yr,0.0923885
Short Int Current Month,101290.0
Short Int Prev Month,122117.0
Short Int Pct of Float,0.0086673
Days to Cover,1.92875
Float,11.68825
Shares Outstanding,11.96622
Institutions Holding Shares,252.0
% Held by Institutions,0.922461
FCF Growth 5yr,-1.2290374169616205
