,HAYW
Price/Earnings (TTM),10.20813
Price/Sales (TTM),1.468
Price/Book (MRQ),1.72729
Price/Cash Flow (TTM),7.31985
5yr Low,7.97
5yr High,28.65
5yr Avg Return,-0.04205000000000002
Short Int Current Month,14930929.0
Short Int Prev Month,14691696.0
Short Int Pct of Float,0.0889872
Days to Cover,9.82793
Float,209.6951
Shares Outstanding,211.2766
Institutions Holding Shares,203.0
% Held by Institutions,1.065859
FCF Growth 5yr,-0.5426956615559148
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
