,MO
Price/Earnings (TTM),17.38164
Price/Sales (TTM),3.17678
Price/Book (MRQ),
Price/Cash Flow (TTM),16.31369
5yr Low,30.95
5yr High,74.38
5yr Avg Return,-0.049283333333333325
EPS Growth 5yr,-0.2876795
Revenue Growth 5yr,0.0020811
Dividend Growth 5yr,0.0883644
Short Int Current Month,14899941.0
Short Int Prev Month,18138186.0
Short Int Pct of Float,0.0083229
Days to Cover,1.92643
Float,1790.347
Shares Outstanding,1792.173
Institutions Holding Shares,2116.0
% Held by Institutions,0.5780449999999999
FCF Growth 5yr,0.13373839587125103
