,MO
% Above Low,0.10880000000000001
% Held by Institutions,0.578
52-Wk Range,['40.35 - 57.05']
Annual Dividend $,3.76
Annual Dividend %,0.084
Ask,44.74
Ask Size,200.0
B/A Ratio,2.0
B/A Size,400x200
Beta,0.7
Bid,44.57
Bid Size,400.0
Change Since Close,-0.01| |(-0.02%)
Closing Price,44.74
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-10-11 00:00:00
"EPS (TTM, GAAP)",2.57
Ex-dividend,2022-09-14 00:00:00
Ex-dividend Date,09/14/22
Historical Volatility,0.257
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,44.73
Market Cap,80.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.38
Prev Close,44.74
Shares Outstanding,1.8B
Short Interest,0.0083
Today's Open,
Volume,356.0
Volume 10-day Avg,8044975.0
Volume Past Day,(Light)
