,AZZ
Price/Earnings (TTM),12.54005
Price/Sales (TTM),0.96198
Price/Book (MRQ),1.198
Price/Cash Flow (TTM),7.42769
5yr Low,19.31
5yr High,58.59
5yr Avg Return,-0.0008833333333333353
EPS Growth 5yr,0.0737434
Revenue Growth 5yr,0.0089019
Dividend Growth 5yr,0.0121987
Short Int Current Month,608890.0
Short Int Prev Month,683701.0
Short Int Pct of Float,0.0250294
Days to Cover,4.72766
Float,24.4207
Shares Outstanding,24.86223
Institutions Holding Shares,254.0
% Held by Institutions,0.897894
FCF Growth 5yr,0.7765294771968855
