,AZZ
Next Earnings Announcement,2023-01-09 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.6468401486988846
Growth 1yr High Est,0.5821428571428571
Growth 1yr Consensus Est,0.6144915029208708
Growth 2yr Low Est,0.28617402468804276
Growth 2yr High Est,0.253825378910029
Growth 2yr Consensus Est,0.2699997017990359
Growth 5yr Low Est,0.14308701234402138
Growth 5yr High Est,0.1269126894550145
Growth 5yr Consensus Est,0.13499985089951794
Growth 5yr Actual/Est,0.15354286786875912
Growth 3yr Historic,0.09156887777408582
