,AZZ
% Above Low,0.37070000000000003
% Held by Institutions,0.8979
52-Wk Range,['30.21 - 56.93']
Annual Dividend $,0.68
Annual Dividend %,0.016399999999999998
Ask,44.0
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.3
Bid,36.38
Bid Size,300.0
Closing Price,41.41
Day Change $,0.31
Day Change %,0.0075
Day High,41.81
Day Low,41.09
Dividend Pay Date,2022-11-01 00:00:00
"EPS (TTM, GAAP)",3.3
Ex-dividend,2022-10-17 00:00:00
Ex-dividend Date,10/17/22
Historical Volatility,0.405
Last (size),12.0
Last (time),5:00p ET 11/25/22
Market Cap,1.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",12.54
Prev Close,41.1
Shares Outstanding,24.9M
Short Interest,0.025
Today's Open,41.39
Volume,34967.0
Volume 10-day Avg,124366.0
Volume Past Day,(Light)
