,CAC
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.07349665924276172
Growth 1yr High Est,-0.07439824945295404
Growth 1yr Consensus Est,-0.07394745434785788
Growth 2yr Low Est,-0.022325252698303877
Growth 2yr High Est,-0.014740495884869476
Growth 2yr Consensus Est,-0.018532874291586676
Growth 5yr Low Est,0.051511468358369006
Growth 5yr High Est,0.05999086316867641
Growth 5yr Consensus Est,0.05575116576352271
Growth 5yr Actual/Est,0.044825029919479065
Growth 3yr Historic,0.058754416658090614
