,CAC
Price/Earnings (TTM),10.35559
Price/Sales (TTM),3.34302
Price/Book (MRQ),1.47765
Price/Cash Flow (TTM),9.53811
5yr Low,25.74
5yr High,52.16
5yr Avg Return,0.01753333333333333
EPS Growth 5yr,0.1231505
Revenue Growth 5yr,0.0275371
Dividend Growth 5yr,0.1200201
Short Int Current Month,435064.0
Short Int Prev Month,421474.0
Short Int Pct of Float,0.0307971
Days to Cover,14.23266
Float,14.13402
Shares Outstanding,14.56541
Institutions Holding Shares,186.0
% Held by Institutions,0.690715
FCF Growth 5yr,0.04233566871520533
