,VNT
% Above Low,0.15109999999999998
% Held by Institutions,0.9517
52-Wk Range,['16.55 - 32.88']
Annual Dividend $,0.1
Annual Dividend %,0.0051
Ask,28.5
Ask Size,300.0
B/A Ratio,1.3333333333333333
B/A Size,400x300
Beta,
Bid,13.5
Bid Size,400.0
Closing Price,19.05
Day Change $,-0.53
Day Change %,-0.0271
Day High,19.35
Day Low,18.84
Dividend Pay Date,2022-12-22 00:00:00
"EPS (TTM, GAAP)",2.68
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.386
Last (size),2.0
Last (time),7:00p ET 11/28/22
Market Cap,3.0B
"P/E Ratio (TTM, GAAP)",7.29
Prev Close,19.58
Shares Outstanding,158.0M
Short Interest,0.014199999999999999
Today's Open,19.35
Volume,1090478.0
Volume 10-day Avg,1446931.0
Volume Past Day,(Light)
