,VNT
Price/Earnings (TTM),7.29348
Price/Sales (TTM),0.99704
Price/Book (MRQ),6.22061
Price/Cash Flow (TTM),5.50349
5yr Low,16.55
5yr High,39.0
5yr Avg Return,-0.17923333333333333
EPS Growth 5yr,0.0605791
Revenue Growth 5yr,0.046029799999999996
Dividend Growth 5yr,
Short Int Current Month,2239755.0
Short Int Prev Month,1881922.0
Short Int Pct of Float,0.0142292
Days to Cover,1.42316
Float,157.4075
Shares Outstanding,157.9934
Institutions Holding Shares,560.0
% Held by Institutions,0.95166
FCF Growth 5yr,0.7531567739419933
