,GKOS
% Above Low,0.414
% Held by Institutions,0.9196
52-Wk Range,['33.33 - 64.49']
Annual Dividend $,
Annual Dividend %,
Ask,47.53
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,46.73
Bid Size,100.0
Closing Price,47.13
Day Change $,-0.31
Day Change %,-0.006500000000000001
Day High,47.66
Day Low,47.08
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.9
Ex-dividend Date,No dividend
Historical Volatility,0.545
Last (size),22.0
Last (time),5:00p ET 11/25/22
Market Cap,2.2B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,47.44
Shares Outstanding,47.7M
Short Interest,0.0897
Today's Open,47.29
Volume,164908.0
Volume 10-day Avg,317269.0
Volume Past Day,(Light)
