,GKOS
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,1.4166666666666665
Growth 1yr High Est,1.6455696202531644
Growth 1yr Consensus Est,1.5311181434599155
Growth 2yr Low Est,0.7471264367816092
Growth 2yr High Est,0.5620192598873478
Growth 2yr Consensus Est,0.6545728483344785
Growth 5yr Low Est,0.7471264367816092
Growth 5yr High Est,0.5620192598873478
Growth 5yr Consensus Est,0.6545728483344785
Growth 5yr Actual/Est,-0.7406066582379935
Growth 3yr Historic,-1.0965922444183314
