,WERN
% Below High,0.12359999999999999
% Held by Institutions,0.8565999999999999
52-Wk Range,['35.84 - 48.79']
Annual Dividend $,0.52
Annual Dividend %,0.012
Ask,68.32
Ask Size,200.0
B/A Ratio,9.0
B/A Size,1800x200
Beta,0.8
Bid,42.0
Bid Size,1800.0
Closing Price,42.76
Day Change $,-0.43
Day Change %,-0.01
Day High,43.96
Day Low,42.61
Dividend Pay Date,2023-01-17 00:00:00
"EPS (TTM, GAAP)",3.94
Ex-dividend,2022-12-30 00:00:00
Ex-dividend Date,12/30/22
Historical Volatility,0.298
Last (size),479.0
Last (time),3:59p ET 11/28/22
Market Cap,2.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.96
Prev Close,43.19
Shares Outstanding,63.2M
Short Interest,0.0717
Today's Open,42.72
Volume,586215.0
Volume 10-day Avg,645978.0
Volume Past Day,(Average)
