,WERN
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,0.13564668769716093
Growth 1yr High Est,0.12537313432835817
Growth 1yr Consensus Est,0.13050991101275955
Growth 2yr Low Est,-0.0293988783736418
Growth 2yr High Est,0.04677144780078385
Growth 2yr Consensus Est,0.008686284713571024
Growth 5yr Low Est,0.08099561981022926
Growth 5yr High Est,0.12129102901538333
Growth 5yr Consensus Est,0.1011433244128063
Growth 5yr Actual/Est,0.09466975441611591
Growth 3yr Historic,0.10393208510363322
