,RXT
Price/Earnings (TTM),
Price/Sales (TTM),0.32284
Price/Book (MRQ),1.23202
Price/Cash Flow (TTM),
5yr Low,3.7
5yr High,26.43
5yr Avg Return,-0.2743333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.0769275
Dividend Growth 5yr,
Short Int Current Month,13714070.0
Short Int Prev Month,13841302.0
Short Int Pct of Float,0.07492499999999999
Days to Cover,9.72564
Float,206.3651
Shares Outstanding,211.1099
Institutions Holding Shares,182.0
% Held by Institutions,1.0321150000000001
FCF Growth 5yr,0.3030603362721165
