,RXT
% Above Low,0.24190000000000003
% Held by Institutions,1.0321
52-Wk Range,['3.70 - 15.07']
Annual Dividend $,
Annual Dividend %,
Ask,4.6
Ask Size,500.0
B/A Ratio,1.0
B/A Size,500x500
Beta,
Bid,4.59
Bid Size,500.0
Day Change $,-0.165
Day Change %,-0.0347
Day High,4.77
Day Low,4.59
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.2
Ex-dividend Date,No dividend
Historical Volatility,0.8029999999999999
Last (size),200.0
Last (time),1:29p ET 11/28/22
Market Cap,970.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,4.76
Price,4.6
Shares Outstanding,211.1M
Short Interest,0.07490000000000001
Today's Open,4.67
Volume Past Day,(Light)
