,RXT
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.45833333333333326
Growth 1yr High Est,-0.40816326530612246
Growth 1yr Consensus Est,-0.43324829931972786
Growth 2yr Low Est,-0.7580128205128205
Growth 2yr High Est,-0.5316678395496129
Growth 2yr Consensus Est,-0.6448403300312167
Growth 5yr Low Est,-0.4336119225359732
Growth 5yr High Est,-0.27944522636640867
Growth 5yr Consensus Est,-0.35652857445119096
Growth 5yr Actual/Est,-0.3693192012034392
Growth 3yr Historic,0.05622489959839361
