,POSH
% Below High,0.1326
% Held by Institutions,0.7494
52-Wk Range,['8.97 - 20.52']
Annual Dividend $,
Annual Dividend %,
Ask,17.81
Ask Size,6700.0
B/A Ratio,1.671641791044776
B/A Size,11200x6700
Beta,
Bid,17.8
Bid Size,11200.0
Day Change $,0.0
Day Change %,0.0
Day High,17.81
Day Low,17.79
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.95
Ex-dividend Date,No dividend
Historical Volatility,0.751
Last (size),100.0
Last (time),11:17a ET 11/28/22
Market Cap,1.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,17.8
Price,17.8
Shares Outstanding,79.2M
Short Interest,0.0902
Today's Open,17.79
Volume Past Day,(Light)
