,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 12/2020,Positive Surprise,1.25,,,,,,,1.11,1.25,,
Year ending 12/2021,Positive Surprise,-0.64,,-1.512,,,,,-0.7,-0.64,-1.512,
Year ending 12/2022,Neutral,,-1.04,0.0,-1.08,,-0.94,,-1.04,-1.04,0.625,
Year ending 12/2023,Neutral,,-0.89,0.0,-1.14,0.05555555555555536,-0.57,-0.3936170212765958,-0.89,-0.89,-0.14423076923076927,-0.16903073286052023
