,POSH
Price/Earnings (TTM),
Price/Sales (TTM),4.00507
Price/Book (MRQ),3.55669
Price/Cash Flow (TTM),
5yr Low,8.97
5yr High,104.98
5yr Avg Return,-0.4061
Short Int Current Month,4745207.0
Short Int Prev Month,4476359.0
Short Int Pct of Float,0.0902206
Days to Cover,3.45871
Float,53.4715
Shares Outstanding,79.21845
Institutions Holding Shares,178.0
% Held by Institutions,0.749354
FCF Growth 5yr,-1.1522628817048026
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
