,VLY
Price/Earnings (TTM),11.82799
Price/Sales (TTM),3.75887
Price/Book (MRQ),1.05209
Price/Cash Flow (TTM),10.77193
5yr Low,6.0
5yr High,15.1
5yr Avg Return,0.026516666666666674
EPS Growth 5yr,0.12270479999999999
Revenue Growth 5yr,0.1185816
Dividend Growth 5yr,0.0
Short Int Current Month,11305339.0
Short Int Prev Month,12594597.0
Short Int Pct of Float,0.022658
Days to Cover,4.1928
Float,499.302
Shares Outstanding,506.3567
Institutions Holding Shares,418.0
% Held by Institutions,0.7013729999999999
FCF Growth 5yr,0.2510776224872115
