,TJX
% Below High,0.013999999999999999
% Held by Institutions,0.9164
52-Wk Range,['53.69 - 81.17']
Annual Dividend $,1.18
Annual Dividend %,0.0146
Ask,80.55
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.9
Bid,79.0
Bid Size,100.0
Change Since Close,0.43| |(0.54%)
Closing Price,80.03
Day Change $,-1.0
Day Change %,-0.0123
Day High,80.92
Day Low,79.84
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",2.87
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.336
Last (size),2300.0
Last (time),4:10p ET 11/28/22
Last Trade,80.46
Market Cap,92.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",28.25
Prev Close,81.03
Shares Outstanding,1.2B
Short Interest,0.0095
Today's Open,79.99
Volume,5314741.0
Volume 10-day Avg,7484381.0
Volume Past Day,(Light)
