,TJX
Price/Earnings (TTM),28.25274
Price/Sales (TTM),1.90948
Price/Book (MRQ),16.60814
Price/Cash Flow (TTM),22.00011
5yr Low,32.72
5yr High,81.17
5yr Avg Return,0.14603333333333335
EPS Growth 5yr,0.0932239
Revenue Growth 5yr,0.0790778
Dividend Growth 5yr,0.0099029
Short Int Current Month,10962629.0
Short Int Prev Month,11260072.0
Short Int Pct of Float,0.0094515
Days to Cover,2.02254
Float,1160.118
Shares Outstanding,1161.053
Institutions Holding Shares,2034.0
% Held by Institutions,0.916406
FCF Growth 5yr,-0.8956032169398317
