,RGEN
Price/Earnings (TTM),59.31872
Price/Sales (TTM),11.88936
Price/Book (MRQ),5.19101
Price/Cash Flow (TTM),44.52897
5yr Low,29.56
5yr High,327.32
5yr Avg Return,0.3893666666666667
EPS Growth 5yr,0.4558461
Revenue Growth 5yr,0.45019640000000005
Dividend Growth 5yr,
Short Int Current Month,3251180.0
Short Int Prev Month,3116506.0
Short Int Pct of Float,0.0587752
Days to Cover,5.11624
Float,55.31056
Shares Outstanding,55.52444
Institutions Holding Shares,569.0
% Held by Institutions,0.913139
FCF Growth 5yr,-0.9703158854557753
