,RGEN
% Above Low,0.2554
% Held by Institutions,0.9131
52-Wk Range,['137.21 - 299.49']
Annual Dividend $,
Annual Dividend %,
Ask,172.25
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,172.02
Bid Size,100.0
Day Change $,0.68
Day Change %,0.004
Day High,172.44
Day Low,169.41
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.89
Ex-dividend Date,No dividend
Historical Volatility,0.599
Last (size),100.0
Last (time),12:40p ET 11/28/22
Market Cap,9.6B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",59.32
Prev Close,171.58
Price,172.26
Shares Outstanding,55.5M
Short Interest,0.0588
Today's Open,169.67
Volume Past Day,(Average)
