,RGEN
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,2.0882352941176467
Growth 1yr High Est,2.0865384615384612
Growth 1yr Consensus Est,2.087386877828054
Growth 2yr Low Est,0.9679271708683472
Growth 2yr High Est,1.0417115983704768
Growth 2yr Consensus Est,1.004819384619412
Growth 5yr Low Est,0.4839635854341736
Growth 5yr High Est,0.5208557991852384
Growth 5yr Consensus Est,0.502409692309706
Growth 5yr Actual/Est,0.34480336050035343
Growth 3yr Historic,0.3491503823279524
