,NBIX
Price/Earnings (TTM),210.3713
Price/Sales (TTM),8.45598
Price/Book (MRQ),7.59978
Price/Cash Flow (TTM),162.1936
5yr Low,64.72
5yr High,136.27
5yr Avg Return,0.13201666666666667
EPS Growth 5yr,
Revenue Growth 5yr,1.3750129999999998
Dividend Growth 5yr,
Short Int Current Month,2838509.0
Short Int Prev Month,2632266.0
Short Int Pct of Float,0.0298997
Days to Cover,2.68848
Float,94.93445
Shares Outstanding,96.13439
Institutions Holding Shares,681.0
% Held by Institutions,0.9489690000000001
FCF Growth 5yr,-0.8856047218116184
