,NBIX
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,1.0214285714285718
Growth 2yr High Est,0.6459016393442623
Growth 2yr Consensus Est,0.833665105386417
Growth 5yr Low Est,1.0214285714285718
Growth 5yr High Est,0.6459016393442623
Growth 5yr Consensus Est,0.833665105386417
Growth 5yr Actual/Est,2.7223346521303164
Growth 3yr Historic,2.221955128205128
