,NBIX
% Below High,0.0305
% Held by Institutions,0.9490000000000001
52-Wk Range,['71.88 - 125.99']
Annual Dividend $,
Annual Dividend %,
Ask,126.27
Ask Size,100.0
Ask close,129.44
B/A Ratio,1.0
B/A Size,100x100
Beta,0.5
Bid,95.0
Bid Size,100.0
Bid close,114.15
Change Since Close,-0.01| |(-0.01%)
Closing Price,122.15
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.58
Ex-dividend Date,No dividend
Historical Volatility,0.34700000000000003
Last (size),4.0
Last (time),1:00p ET 11/25/22
Last Trade,122.14
Market Cap,11.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",210.37
Prev Close,122.15
Shares Outstanding,96.1M
Short Interest,0.029900000000000003
Today's Open,
Volume,4.0
Volume 10-day Avg,783295.0
Volume Past Day,(Light)
