,LUNG
Price/Earnings (TTM),
Price/Sales (TTM),4.16258
Price/Book (MRQ),1.32258
Price/Cash Flow (TTM),
5yr Low,4.07
5yr High,69.48
5yr Avg Return,-0.20956666666666668
Short Int Current Month,2429272.0
Short Int Prev Month,3254294.0
Short Int Pct of Float,0.0699138
Days to Cover,1.45976
Float,36.02868
Shares Outstanding,37.4092
Institutions Holding Shares,156.0
% Held by Institutions,0.926322
FCF Growth 5yr,0.13649108223332448
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
