,LUNG
% Above Low,0.4201
% Held by Institutions,0.9262999999999999
52-Wk Range,['4.07 - 36.37']
Annual Dividend $,
Annual Dividend %,
Ask,9.99
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,
Bid,4.0
Bid Size,100.0
Closing Price,5.78
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.56
Ex-dividend Date,No dividend
Historical Volatility,1.21
Last (size),5700.0
Last (time),1:00p ET 11/25/22
Market Cap,216.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,5.78
Shares Outstanding,37.4M
Short Interest,0.0699
Today's Open,
Volume,223712.0
Volume 10-day Avg,820213.0
Volume Past Day,(Light)
