,FWRD
% Below High,0.1199
% Held by Institutions,0.9991
52-Wk Range,['84.04 - 125.71']
Annual Dividend $,0.96
Annual Dividend %,0.0087
Ask,177.37
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,1.2
Bid,107.76
Bid Size,300.0
Closing Price,110.64
Day Change $,-0.75
Day Change %,-0.0067
Day High,111.95
Day Low,110.58
Dividend Pay Date,2022-12-08 00:00:00
"EPS (TTM, GAAP)",6.95
Ex-dividend,2022-11-22 00:00:00
Ex-dividend Date,11/22/22
Historical Volatility,0.37700000000000006
Last (size),13.0
Last (time),1:00p ET 11/25/22
Market Cap,2.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",15.92
Prev Close,111.39
Shares Outstanding,26.6M
Short Interest,0.0199
Today's Open,110.69
Volume,65688.0
Volume 10-day Avg,180372.0
Volume Past Day,(Light)
