,FWRD
Price/Earnings (TTM),15.92206
Price/Sales (TTM),1.50701
Price/Book (MRQ),4.3092
Price/Cash Flow (TTM),12.52265
5yr Low,39.59
5yr High,125.71
5yr Avg Return,0.14243333333333333
EPS Growth 5yr,0.3619647
Revenue Growth 5yr,0.1109112
Dividend Growth 5yr,0.05922380000000001
Short Int Current Month,524585.0
Short Int Prev Month,607553.0
Short Int Pct of Float,0.0199035
Days to Cover,3.11508
Float,26.37946
Shares Outstanding,26.5897
Institutions Holding Shares,314.0
% Held by Institutions,0.9990749999999999
FCF Growth 5yr,0.41973548338594086
