,NXGN
% Below High,0.0755
% Held by Institutions,0.7706000000000001
52-Wk Range,['15.32 - 21.99']
Annual Dividend $,
Annual Dividend %,
Ask,20.99
Ask Size,2400.0
Ask close,24.96
B/A Ratio,0.08333333333333333
B/A Size,200x2400
Beta,1.0
Bid,20.25
Bid Size,200.0
Bid close,15.68
Change Since Close,-0.03| |(-0.15%)
Closing Price,20.33
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.3
Ex-dividend Date,No dividend
Historical Volatility,0.324
Last (size),3.0
Last (time),1:00p ET 11/25/22
Last Trade,20.3
Market Cap,1.4B
"P/E Ratio (TTM, GAAP)",68.4
Prev Close,20.33
Shares Outstanding,67.6M
Short Interest,0.0794
Today's Open,
Volume,5.0
Volume 10-day Avg,445748.0
Volume Past Day,(Light)
