,NXGN
Price/Earnings (TTM),68.39591
Price/Sales (TTM),2.23945
Price/Book (MRQ),3.11064
Price/Cash Flow (TTM),23.30765
5yr Low,5.1
5yr High,23.8
5yr Avg Return,0.06251666666666668
EPS Growth 5yr,-0.39486289999999996
Revenue Growth 5yr,0.0319301
Dividend Growth 5yr,
Short Int Current Month,4342825.0
Short Int Prev Month,2717778.0
Short Int Pct of Float,0.0793856
Days to Cover,6.93723
Float,54.99154
Shares Outstanding,67.6048
Institutions Holding Shares,276.0
% Held by Institutions,0.7705580000000001
FCF Growth 5yr,-1.0081203627852349
