,AMRC
Price/Earnings (TTM),32.877
Price/Sales (TTM),1.76503
Price/Book (MRQ),4.22305
Price/Cash Flow (TTM),20.74075
5yr Low,7.65
5yr High,101.86
5yr Avg Return,0.5351833333333333
EPS Growth 5yr,0.390612
Revenue Growth 5yr,0.1329705
Dividend Growth 5yr,
Short Int Current Month,3341399.0
Short Int Prev Month,3352461.0
Short Int Pct of Float,0.10561899999999999
Days to Cover,8.13555
Float,31.66636
Shares Outstanding,51.91419
Institutions Holding Shares,313.0
% Held by Institutions,0.949443
FCF Growth 5yr,0.11170432373251453
