,AMRC
% Above Low,0.5932000000000001
% Held by Institutions,0.9494
52-Wk Range,['40.73 - 93.34']
Annual Dividend $,
Annual Dividend %,
Ask,65.34
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.0
Bid,
Bid Size,
Closing Price,64.89
Day Change $,1.26
Day Change %,0.019799999999999998
Day High,65.67
Day Low,63.33
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.97
Ex-dividend Date,No dividend
Historical Volatility,0.716
Last (size),8.0
Last (time),5:00p ET 11/25/22
Market Cap,3.4B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",32.88
Prev Close,63.63
Shares Outstanding,51.9M
Short Interest,0.1056
Today's Open,63.57
Volume,64566.0
Volume 10-day Avg,277680.0
Volume Past Day,(Light)
