,NEE
Price/Earnings (TTM),44.06647
Price/Sales (TTM),8.54847
Price/Book (MRQ),4.38972
Price/Cash Flow (TTM),22.53016
5yr Low,36.28
5yr High,93.73
5yr Avg Return,0.15076666666666666
EPS Growth 5yr,0.030407899999999998
Revenue Growth 5yr,0.0112806
Dividend Growth 5yr,0.1209863
Short Int Current Month,18273563.0
Short Int Prev Month,16882157.0
Short Int Pct of Float,0.0092168
Days to Cover,2.74521
Float,1983.261
Shares Outstanding,1987.164
Institutions Holding Shares,2925.0
% Held by Institutions,0.760887
FCF Growth 5yr,-0.6291931577684838
