,NEE
% Below High,0.0895
% Held by Institutions,0.7609
52-Wk Range,['67.22 - 93.73']
Annual Dividend $,1.7
Annual Dividend %,0.0199
Ask,85.17
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.5
Bid,84.2
Bid Size,100.0
Change Since Close,-0.59| |(-0.69%)
Closing Price,85.34
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",1.94
Ex-dividend,2022-11-23 00:00:00
Ex-dividend Date,11/23/22
Historical Volatility,0.312
Last (size),4.0
Last (time),5:00p ET 11/25/22
Last Trade,84.75
Market Cap,169.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",44.07
Prev Close,85.34
Shares Outstanding,2.0B
Short Interest,0.0092
Today's Open,
Volume,220.0
Volume 10-day Avg,6415601.0
Volume Past Day,(Light)
