,LUMN
Price/Earnings (TTM),2.9244
Price/Sales (TTM),0.32615
Price/Book (MRQ),0.48048
Price/Cash Flow (TTM),1.12955
5yr Low,5.68
5yr High,24.2
5yr Avg Return,-0.08968333333333334
EPS Growth 5yr,0.10480600000000001
Revenue Growth 5yr,0.0241824
Dividend Growth 5yr,-0.1427465
Short Int Current Month,145386630.0
Short Int Prev Month,153161404.0
Short Int Pct of Float,0.1419101
Days to Cover,4.51595
Float,1025.263
Shares Outstanding,1034.583
Institutions Holding Shares,1005.0
% Held by Institutions,0.7477809999999999
FCF Growth 5yr,0.07044768746308909
