,LUMN
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.5248618784530388
Growth 1yr High Est,-0.1280788177339901
Growth 1yr Consensus Est,-0.32647034809351444
Growth 2yr Low Est,-0.5240588462032636
Growth 2yr High Est,-0.26460438061840746
Growth 2yr Consensus Est,-0.39433161341083556
Growth 5yr Low Est,-0.16125422930318217
Growth 5yr High Est,-0.0035708470256216873
Growth 5yr Consensus Est,-0.08241253816440193
Growth 5yr Actual/Est,-0.07500324764098573
Growth 3yr Historic,0.10221602250045364
